,Opening,Opening.1,Title,Director,Cast,Studio (production house),Ref.
93,DEC,11.0,Durgamati,G. Ashok,Bhumi PednekarArshad WarsiJisshu SenguptaMahie GillKaran Kapadia,"Abundantia Entertainment, T-Series, Cape of Good Films, Amazon Prime Video",[111]
94,DEC,11.0,Indoo Ki Jawani,Abir Sengupta,Kiara AdvaniAditya Seal,"T-Series, Emmay Entertainment, Electric Apples",[112]
95,DEC,11.0,Nirvana Inn,Vijay Jayapal,Adil HussainRajshri DeshpandeSandhya Mridul,"Stray Factory, Uncombed Buddha, Stop Whinging, Harman Ventures, Cinemapreneur",[113]
96,DEC,11.0,Torbaaz,Girish Malik,Sanjay DuttNargis FakhriRahul DevGavie ChahalRahul MittraPransh Chopra,"Clapstem Entertainment, Rahul Mittra Films, Netflix",[114]
97,DEC,18.0,Eeb Allay Ooo!,Prateek Vats,Shardul BharadwajMahender NathNutan SinhaShashi BhushanNaina Sareen,NaMa Productions,[115]
98,DEC,18.0,Sayonee,Nitin Kumar GuptaAbhay Singhal,Tanmay SsinghMusskan SethiRahul RoyYograj SinghUpasana Singh,"Lucky Nadiadwala Morani Productions, D&T Productions Pvt. Ltd.",[116]
99,DEC,18.0,Omprakash Zindabad,Ranjeet Gupta,Kulbhushan KharbandaJagdeepShweta BhardwajSeema AzmiAbhay JoshiIshtiyak KhanZakir HussainOm Puri,Panorama Studios,[117]
100,DEC,18.0,Unpaused,Raj & D.KNitya MehraNikkhil AdvaniTannishtha ChatterjeeAvinash Arun,Gulshan DevaiahSumeet VyasSaiyami KherRicha ChaddaAbhishek BanerjeeRatna Pathak ShahIshwak Singh,Amazon Prime Video,[118]
101,DEC,24.0,AK vs AK,Vikramaditya Motwane,Anil KapoorAnurag Kashyap,Netflix,[119]
102,DEC,25.0,Coolie No. 1,David Dhawan,Varun DhawanSara Ali Khan,"Pooja Entertainment, Amazon Prime Video",[105]
103,DEC,25.0,Shakeela,Indrajit Lankesh,Richa ChaddaPankaj TripathiRajeev Pillai,Sammy's Magic Cinema,[120]
