,Title,Director,Cast,Genre
80,Oh My Anand,Angad Keet,"Su Paman, Ramorous Kumar",Comedy
81,Om Shanti Om,Farah Khan,"Shah Rukh Khan, Deepika Padukone, Arjun Rampal, Shreyas Talpade, Kiron Kher, Javed Sheikh, Bindu, Yuvika Chaudhary, Satish Shah","Action, Romance, Comedy, Drama"
82,Partner,David Dhawan,"Salman Khan, Govinda, Lara Dutta, Katrina Kaif, Aarti Chabria, Rajpal Yadav, Dalip Tahil","Comedy, Romance"
83,Raqeeb,Anurag Singh,"Rahul Khanna, Jimmy Sheirgill, Sharman Joshi, Tanushree Dutta",Romance
84,Red: The Dark Side,Vikram Bhatt,"Aftab Shivdasani, Amrita Arora, Celina Jaitly",Thriller
85,Red Swastik,Vinod Pande,"Sherlyn Chopra, Deepshika",Thriller
86,Risk,Vishram Sawant,"Vinod Khanna, Randeep Hooda, Tanushree Dutta, Seema Biswas","Action, Drama"
87,Salaam-e-Ishq: A Tribute to Love,Nikhil Advani,"Salman Khan, Akshaye Khanna, Priyanka Chopra, Anil Kapoor, Ayesha Takia, Juhi Chawla, Vidya Balan, John Abraham, Sohail Khan, Isha Koppikar, Govinda, Shannon Esra",Romance
88,Saawariya,Sanjay Leela Bhansali,"Ranbir Kapoor, Sonam Kapoor, Rani Mukerji, Salman Khan","Drama, romance"
89,Sarhad Paar,Raman Kumar,"Sanjay Dutt, Tabu, Mahima Chaudhry, Chandrachur Singh",Patriotic
90,Sambar Salsa,Aditya Raj Kapoor,Rishi Kapoor,"Romance, Drama"
91,Say Salaam India,Subhash Kapoor,"Sanjay Suri, Sandhya Mridul, Milind Soman",Cricket
92,Shakalaka Boom Boom,Suneel Darshan,"Bobby Deol, Upen Patel, Kangana Ranaut, Celina Jaitly","Drama, social, musical, romance"
93,Shootout at Lokhandwala,Apoorva Lakhia,"Amitabh Bachchan, Sanjay Dutt, Sunil Shetty, Vivek Oberoi, Tusshar Kapoor, Arbaaz Khan, Abhishek Bachchan, Neha Dhupia, Dia Mirza, Aarti Chabria, Amrita Singh","Action, crime, drama"
94,Showbiz,Raju Khan,"Tushar Jalota, Mrinalini Sharma",Drama
95,Speed,Vikram Bhatt,"Sanjay Suri, Zayed Khan, Urmila Matondkar, Sophie Choudry, Aftab Shivdasani, Tanushree Dutta, Amrita Arora, Aashish Chaudhary",Thriller
96,Strangers,Anand Rai,"Jimmy Sheirgill, Kay Kay Menon, Nandana Sen, Sonali Kulkarni",
97,Sunglass,Rituparno Ghosh,"Konkona Sen Sharma, R. Madhavan, Raima Sen","Comedy, Thriller"
98,Swami,Ganesh Acharya,"Manoj Bajpai, Juhi Chawla",Drama
99,Ta Ra Rum Pum,Siddharth Anand,"Saif Ali Khan, Rani Mukerji, Javed Jaffrey, Aarti Chabria","Romance, drama, social"
100,Taare Zameen Par,Aamir Khan,"Aamir Khan, Darsheel Safary, Tisca Chopra",Drama
101,Traffic Signal,Madhur Bhandarkar,"Kunal Khemu, Konkona Sen Sharma, Gopal K Singh",Drama
102,The Train,"Hasnain Hyderabadwala, Raksha Mistry","Emraan Hashmi, Geeta Basra, Sayali Bhagat",Drama Thriller
103,Victoria No. 203,Anant Mahadevan,"Om Puri, Anupam Kher, Jimmy Sheirgill, Preeti Jhangiani",Comedy
104,Welcome,Anees Bazmee,"Akshay Kumar, Nana Patekar, Anil Kapoor, Katrina Kaif, Mallika Sherawat, Paresh Rawal, Feroz Khan",Comedy
105,Yatra,Gautam Ghose,"Rekha, Nana Patekar, Deepti Naval",Drama
106,Zamaanat,S. Ramanathan,"Amitabh Bachchan, Arshad Warsi, Karisma Kapoor",Drama
