,Opening,Opening.1,Title,Genre,Director,Cast,Ref
100,NOV,4.0,Miley Naa Miley Hum,Romance/Drama,Tanveer Khan,"Chirag Paswan, Kangana Ranaut, Neeru Bajwa, Sagarika Ghatge, Kabir Bedi, Poonam Dhillon",[77]
101,NOV,11.0,Rockstar,Romance/Drama,Imtiaz Ali,"Ranbir Kapoor, Nargis Fakhri, Aditi Rao Hydari, Kumud Mishra, Piyush Mishra, Shammi Kapoor",[78]
102,NOV,15.0,Super K – The Movie,Animation,Vijay S. BhanushaliSmita Maroo,,[79]
103,NOV,18.0,Shakal Pe Mat Ja,Comedy,Shubh Mukherjee,"Shubh Mukherjee, Pratik Katare, Saurabh Shukla, Raghuveer Yadav, Aamna Sharif, Zakir Hussain",
104,NOV,25.0,Desi Boyz,Comedy,Rohit Dhawan,"Akshay Kumar, John Abraham, Deepika Padukone, Chitrangada Singh, Omi Vaidya",[80]
105,DEC,2.0,The Dirty Picture,Drama,Milan Luthria,"Vidya Balan, Naseeruddin Shah, Emraan Hashmi, Tusshar Kapoor",[81]
106,DEC,9.0,Ladies vs Ricky Bahl,Romance/Comedy/Crime,Maneesh Sharma,"Ranveer Singh, Anushka Sharma, Parineeti Chopra, Dipannita Sharma, Aditi Sharma",[82]
107,DEC,16.0,Jo Hum Chahein,Romance/Drama,Pawan Gill,"Sunny Gill, Simran Kaur Mundi, Achint Kaur, Alyy Khan, Yuri Suri",[83]
108,DEC,16.0,Pappu Can't Dance Saala,Romance/Comedy,Saurabh Shukla,"Vinay Pathak, Neha Dhupia, Rajat Kapoor, Naseeruddin Shah, Sanjay Mishra, Saurabh Shukla, Brijendra Kala, Anand Abhyankar",
109,DEC,23.0,Don 2,Action/Thriller,Farhan Akhtar,"Shah Rukh Khan, Priyanka Chopra, Lara Dutta, Boman Irani, Kunal Kapoor, Hrithik Roshan, Om Puri, Alyy Khan",[84]
