,Opening,Opening.1,Title,Director,Cast,Genre
17,MAR,5.0,Atithi Tum Kab Jaoge?,Ashwni Dhir,"Ajay Devgn, Konkona Sen Sharma, Paresh Rawal, Satish Kaushik",Comedy
18,MAR,5.0,Hello Zindagi,Raja Unnithan,"Mrunmayee Lagoo, Milind Gunaji, Neena Gupta, Kanwaljeet Singh",Drama
19,MAR,5.0,"Road, Movie",Dev Benegal,"Abhay Deol, Satish Kaushik, Tannishtha Chatterjee, Mohammed Faisal Usmani",Drama
20,MAR,5.0,Rokkk,Rajesh Ranshinge,"Udita Goswami, Shaad Randhawa, Nishigandha Wad, Tanushree Dutta",Thriller
21,MAR,5.0,Thanks Maa,Irfan Kamal,"Alok Nath, Raghuveer Yadav, Barry John, Sanjay Mishra",Drama
22,MAR,12.0,Do Dilon Ke Khel Mein,Akash Pandey,"Rajesh Khanna, Nausheen Ali Sardar, Sonika Gill, Satish Kaushik",Romantic comedy
23,MAR,12.0,Hide & Seek,Shawn Arranha,"Purab Kohli, Arjan Bajwa, Mrinalini Sharma, Samir Kochhar",Thriller
24,MAR,12.0,Na Ghar Ke Na Ghaat Ke,Rahul Aggarwal,"Rahul Aggarwal, Paresh Rawal, Narayani Shastri, Om Puri",Comedy
25,MAR,12.0,Right Yaaa Wrong,Neeraj Pathak,"Sunny Deol, Irrfan Khan, Isha Koppikar, Konkona Sen Sharma",Action
26,MAR,12.0,Trump Card,Arshad Khan,"Vikrum Kumar, Urvashi Chowdhary, Mansi Dovhal, Sheetal Bedi","Action, Thriller"
27,MAR,19.0,Idiot Box,Sunanda Mitra,"Sushant Singh, Hrishita Bhatt, Jyoti Gauba, Milind Gunaji",Drama
28,MAR,19.0,Lahore,Sanjay Puran Singh Chauhan,"Aanaahad, Shraddha Das, Farooq Sheikh, Nafisa Ali",Sports/Social
29,MAR,19.0,Love Sex Aur Dhokha,Dibakar Banerjee,"Amit Sial, Anshuman Jha, Arya Banerjee, Atul Mongia, Neha Chauhan, Shruti",Found footage
30,MAR,19.0,Shaapit,Vikram Bhatt,"Aditya Narayan, Shweta Agarwal, Rahul Dev, Shubh Joshi",Horror
31,MAR,26.0,Hum Tum Aur Ghost,Kabeer Kaushik,"Dia Mirza, Sandhya Mridul, Boman Irani",Comedy
32,MAR,26.0,It's a Man's World,Saurabh Sengupta,"Mohsin Akhtar, Mouli Ganguly, Ranjeet Jha, Mikhil Chindaramani",Social
33,MAR,26.0,Mittal v/s Mittal,Karan Razdan,"Rituparna Sengupta, Rohit Roy, Gulshan Grover, Suchitra Krishnamurthy",Romance
34,MAR,26.0,My Friend Ganesha 3,Rajiv S. Ruia,"Rahul Pendkalkar, Baba Sehgal, Eva Grover, Sayaji Shinde",Animation
35,MAR,26.0,Prem Kaa Game,Ashok Kheny,"Arbaaz Khan, Tara Sharma, Madhuri Bhattacharya, Johnny Lever",Comedy
36,MAR,26.0,Well Done Abba,Shyam Benegal,"Boman Irani, Minissha Lamba, Sameer Dattani, Ravi Kissen",Social
37,APR,2.0,Pankh,Sudipto Chattopadhyaya,"Bipasha Basu, Maradona Rebello, Mahesh Manjrekar, Ronit Roy Sanjeeda Sheikh",Social
38,APR,2.0,Sadiyaan,Raj Kanwar,"Luv Sinha, Ferena Wazeir, Rekha, Hema Malini, Rishi Kapoor",Romance
39,APR,2.0,Tum Milo Toh Sahi,Kabir Sadanand,"Nana Patekar, Dimple Kapadia, Rehan Khan, Sunil Shetty, Vidya Malvade, Anjana Sukhani, Mohnish Behl",Social/Drama
40,APR,9.0,Jaane Kahan Se Aayi Hai,Milap Zaveri,"Riteish Deshmukh, Jacqueline Fernandez",Comedy/Romance/Fantasy
41,APR,9.0,Prince,Kookie Gulati,"Vivek Oberoi, Aruna Shields, Nandana Sen, Neeru Bajwa, Isaiah, Sanjay Kapoor",Action/Sci-Fi/Thriller
42,APR,9.0,The Japanese Wife,Aparna Sen,"Rahul Bose, Raima Sen, Chigasu Takaku, Moushmi Chatterjee",Romance
43,APR,16.0,Paathshaala,Milind Ukey,"Shahid Kapoor, Nana Patekar, Ayesha Takia, Swini Khara",Social
44,APR,16.0,Phoonk 2,Milind Gadagkar,"Sudeep, Neeru Bajwa, Amruta Khanvilkar, Ahsaas Channa",Horror
45,APR,23.0,Apartment,Jagmohan Mundhra,"Rohit Roy, Tanushree Dutta, Neetu Chandra, Anupam Kher",Thriller
46,APR,23.0,Bird Idol,Jyotin Goel,,Animation
47,APR,23.0,City of Gold,Mahesh Manjrekar,"Vineet Kumar, Sameer Dharmadhikari, Kashmira Shah, Satish Kaushik",Social
48,APR,23.0,Kuchh Kariye,Jagbir Dahiya,"Sukhwinder Singh, Vikrum Kumar, Rufy Khan",
49,APR,23.0,Muskurake Dekh Zara,Som Shekar,"Gashmeer Mahajani, Twinkle Patel, Sunil Sabarwal, Simran Suri",Romantic Comedy
50,APR,30.0,Chase,Jagmohan Mundhra,"Udita Goswami, Caterina Murino, Rajesh Khattar, Shweta Menon",Action
51,APR,30.0,Housefull,Sajid Khan,"Akshay Kumar, Arjun Rampal, Deepika Padukone, Riteish Deshmukh, Lara Dutta, Malaika Arora, Randhir Kapoor, Jiah Khan, Boman Irani, Chunky Pandey",Comedy
52,MAY,7.0,Badmaash Company,Parmeet Sethi,"Shahid Kapoor, Anushka Sharma, Meiyang Chang, Vir Das, Harry Mearing",Romance/Drama
53,MAY,14.0,Bumm Bumm Bole,Priyadarshan,"Darsheel Safary, Atul Kulkarni, Rituparna Sengupta, Ziyah Vastani",Children/Drama
54,MAY,14.0,Admissions Open,K.D. Satyam,"Anupam Kher, Aashish Vidyarthi, Ankur Khanna, Pramod Moutho",Drama
55,MAY,14.0,Kushti,T K Rajeev Kumar,"Rajpal Yadav, Khali, Nargis, Sharat Saxena",Comedy/Romance
56,JUN,4.0,Raajneeti,Prakash Jha,"Ajay Devgn, Ranbir Kapoor, Arjun Rampal, Nana Patekar, Katrina Kaif, Manoj Bajpai, Naseeruddin Shah, Sarah Thompson",Drama/Political Thriller
57,JUN,11.0,Ek Second... Jo Zindagi Badal De?,Partho Ghosh,"Jackie Shroff, Manisha Koirala, Aman Verma",Thriller
58,JUN,18.0,Raavan,Mani Ratnam,"Vikram, Abhishek Bachchan, Aishwarya Rai Bachchan, Govinda, Nikhil Dwivedi, Priyamani",Action/Romance
59,JUN,25.0,Krantiveer - The Revolution,Mehul Kumar,"Jahan Bloch, Sameer Aftab",Action
60,JUN,25.0,Mr. Singh Mrs. Mehta,Pravesh Raman,"Aruna Shields, Prashant Narayanan",Drama
61,JUN,,,,,
62,JUL,2.0,I Hate Luv Storys,Punit Malhotra,"Imran Khan, Sonam Kapoor, Sameer Dattani, Aamir Ali",Romance
63,JUL,9.0,Milenge Milenge,Satish Kaushik,"Kareena Kapoor, Shahid Kapoor, Aarti Chabria",Romance
64,JUL,9.0,Red Alert: The War Within,Anant Mahadevan,"Sunil Shetty, Vinod Khanna, Naseeruddin Shah, Sameera Reddy",Action
65,JUL,16.0,Lamhaa,Rahul Dholakia,"Sanjay Dutt, Bipasha Basu, Kunal Kapoor, Anupam Kher",Action
66,JUL,16.0,Tere Bin Laden,Abhishek Sharma,"Ali Zafar, Barry John, Nikhil Ratnaparkhi",Comedy
67,JUL,16.0,Udaan,Vikramaditya Motwane,"Ronit Roy, Rajat Barmecha",Drama
68,JUL,23.0,Khatta Meetha,Priyadarshan,"Akshay Kumar, Trisha Krishnan, Rajpal Yadav, Johnny Lever, Urvashi Sharma","Comedy, Drama, Romance"
69,JUL,30.0,Once Upon a Time in Mumbaai,Milan Luthria,"Ajay Devgn, Emraan Hashmi, Kangana Ranaut, Prachi Desai, Randeep Hooda","Action, Romance, Thriller, Crime"
70,AUG,6.0,Aisha,Rajshree Ojha,"Sonam Kapoor, Abhay Deol, Anand Tiwari, Ira Dubey, Amrita Puri, Arunoday Singh, Cyrus Sahukar, Lisa Haydon","Romance, Comedy"
71,AUG,13.0,Help,Rajeev Virani,"Bobby Deol, Mugdha Godse, Sophia Handa, Shreyas Talpade",Horror
72,AUG,13.0,Peepli Live,Anusha Rizvi,"Omkar Das Manikpuri, Raghubir Yadav","Political, Comedy"
73,AUG,20.0,Lafangey Parindey,Pradeep Sarkar,"Neil Nitin Mukesh, Deepika Padukone",Romance
74,AUG,20.0,...And Once Again,Amol Palekar,"Antara Mali, Rajat Kapoor, Rituparna Sengupta",Drama
75,AUG,27.0,Hello Darling,Manoj Tiwari,"Celina Jaitly, Isha Koppikar, Gul Panag",Comedy
76,AUG,27.0,Antardwand,Sushil Rajpal,"Raja Chaudhary, Vinay Pathak",Crime
77,AUG,27.0,Aashayein,Nagesh Kukunoor,"John Abraham, Sonal Sehgal, Prateeksha Lonkar",Drama
78,AUG,27.0,Soch Lo,Sartaj Singh Pannu,"Sartaj Singh Pannu, Barkha Madan, Bhupinder Singh","Mystery, Suspense"
79,SEP,3.0,We Are Family,Siddharth Malhotra,"Arjun Rampal, Kajol, Kareena Kapoor","Drama, Romance"
80,SEP,3.0,Mallika,Wilson Louis,"Sameer Dattani, Sheena Nayar, Himanshu Malik",Horror
81,SEP,3.0,The Film Emotional Atyachar,Akshay Shere,"Mohit Alawat, Kalki Koechlin, Vinay Pathak, Ranvir Shorey, Ravi Kishan, Sakshi Gulati",Drama
82,SEP,10.0,Dabangg,Abhinav Kashyap,"Salman Khan, Arbaaz Khan, Sonakshi Sinha, Sonu Sood, Mahie Gill, Vinod Khanna, Dimple Kapadia, Om Puri, Anupam Kher, Mahesh Manjrekar, Malaika Arora Khan",Action
83,SEP,17.0,Kings of Devon,Rahsaan Islam,"Rahsaan Islam, Bakhtiar Hafeez, Trishna Murad",Comedy
84,OCT,1.0,Anjaana Anjaani,Siddharth Anand,"Priyanka Chopra, Ranbir Kapoor, Zayed Khan",Romance
85,OCT,1.0,Benny and Babloo,Yunus Sajawal,"Kay Kay Menon, Rajpal Yadav, Riya Sen, Shweta Tiwari, Rukhsar Rehman, Anita Hassanandani, Richa Chadha, Maushumi Udeshi, Hiten Paintal, Aasif Sheikh",Comedy
86,OCT,1.0,Khichdi: The Movie,Aatish Kapadia,"Supriya Pathak, Anang Desai, Rajeev Mehta, Jamnadas Majethia, Nimisha Vakharia",Comedy
87,OCT,8.0,Crook,Mohit Suri,"Emraan Hashmi, Neha Sharma",Thriller
88,OCT,8.0,Do Dooni Chaar,Habib Faisal,"Rishi Kapoor, Neetu Singh",Comedy
89,OCT,15.0,Aakrosh,Priyadarshan,"Ajay Devgn, Akshaye Khanna, Bipasha Basu, Reema Sen, Paresh Rawal",Thriller
90,OCT,15.0,Pusher,Assad Raja,"Mahima Chaudhry, Pasha Bocarie, Marc Anwar, Assad Raja","Action, Drama"
91,OCT,15.0,Knock Out,Mani Shankar,"Sanjay Dutt, Kangana Ranaut, Irrfan Khan, Gulshan Grover",Action
92,OCT,15.0,Kajraare,Pooja Bhatt,"Himesh Reshammiya, Sara Loren",Romance
93,OCT,15.0,Ramayana: The Epic,Cheetan Desai,"Manoj Bajpai, Juhi Chawla",Animation
94,OCT,22.0,Hisss,Jennifer Lynch,"Mallika Sherawat, Irrfan Khan",Horror/Thriller
95,OCT,22.0,Jhootha Hi Sahi,Abbas Tyrewala,"John Abraham, Pakhi Tyrewala",Romance
96,OCT,22.0,Rakta Charitra,Ram Gopal Verma,"Vivek Oberoi, Sudeep, Radhika Apte, Shatrughan Sinha, Kota Srinivasa Rao, Abhimanyu Singh, Sushant Singh",Biographical
97,OCT,29.0,Maalik Ek,Deepak Balraj Vij,"Jackie Shroff, Divya Dutta","Biographical, Animation"
98,OCT,29.0,Nakshatra,Mohan Savalkar,"Anupam Kher, Shubh, Sabina Sheema",Romance
99,NOV,5.0,Golmaal 3,Rohit Shetty,"Ajay Devgn, Mithun Chakraborty, Tusshar Kapoor, Arshad Warsi, Shreyas Talpade, Kareena Kapoor, Kunal Khemu",Comedy
100,NOV,5.0,Action Replayy,Vipul Amrutlal Shah,"Akshay Kumar, Aishwarya Rai Bachchan, Neha Dhupia, Randhir Kapoor",Comedy
101,NOV,12.0,Dunno Y... Na Jaane Kyon,Sanjay Sharma,"Aryan Vaid, Kapil Sharma, Rituparna Sengupta, Helen, Zeenat Aman",Romance
102,NOV,12.0,A Flat,Raaj Verma,"Sanjay Suri, Jimmy Shergill",Thriller
103,NOV,12.0,Ramaa: The Saviour,Haadi Abrar,"Sahil Khan, Tanushree Dutta, Dalip Singh Rana","Action, Adventure"
104,NOV,19.0,Guzaarish,Sanjay Leela Bhansali,"Hrithik Roshan, Aishwarya Rai Bachchan",Romance/Drama
105,NOV,19.0,"Shahrukh Bola ""Khoobsurat Hai Tu""",Makrand Deshpande,"Preetika Chawla, Afzaal Khan, Shahrukh Khan, Kay Kay Menon",Thriller
106,NOV,19.0,Diwangi Ne Had Kar Di,Jiten Purohit,"Aditya Raj Kapoor, Deep, Ashhmita",Romance/Thriller
107,NOV,26.0,Allah Ke Banday,Faruk Kabir,"Sharman Joshi, Naseeruddin Shah, Faruk Kabir",Thriller
108,NOV,26.0,Break Ke Baad,Danish Aslam,"Imran Khan, Deepika Padukone",Romance
109,NOV,26.0,Khuda Kasam,K C Bokadia,"Sunny Deol, Tabu, Farida Jalal, Govind Namdeo",Action
110,DEC,3.0,Khelein Hum Jee Jaan Sey,Ashutosh Gowariker,"Abhishek Bachchan, Deepika Padukone, Sikander Kher",Period
111,DEC,3.0,Phas Gaye Re Obama,Subhash Kapoor,"Rajat Kapoor, Neha Dhupia",Comedy/Crime
112,DEC,3.0,Rakta Charitra 2,Ram Gopal Verma,"Suriya, Vivek Oberoi, Sudeep, Shatrughan Sinha",Biographical
113,DEC,10.0,Band Baaja Baaraat,Maneesh Sharma,"Ranveer Singh, Anushka Sharma",Romance/Drama
114,DEC,10.0,No Problem,Anees Bazmee,"Paresh Rawal, Anil Kapoor, Sushmita Sen, Neetu Chandra, Kangana Ranaut, Akshaye Khanna, Sunil Shetty, Sanjay Dutt",Comedy
115,DEC,17.0,332 Mumbai to India,Mahesh Pandey,"Ali Asgar, Chetan Pandit",Thriller
116,DEC,17.0,Payback,Sachin P. Karande,"Munish Khan, Sara Khan, Gulshan Grover",Thriller
117,DEC,17.0,Kaalo,Wilson Louis,"Swini Khara, Aditya Srivastava, Gufi Paintal",Horror
118,DEC,17.0,Mirch,Vinay Shukla,"Konkona Sen Sharma, Raima Sen, Shahana Goswami, Ila Arun, Shreyas Talpade",Drama
119,DEC,24.0,Tees Maar Khan,Farah Khan[3],"Akshay Kumar,[3] Katrina Kaif, Akshaye Khanna, Arya Babbar",Action comedy
120,DEC,24.0,Isi Life Mein...!,Vidhi Kasliwal,"Akshay Oberoi, Sandeepa Dhar, Mohnish Behl",Drama
121,DEC,24.0,Toonpur Ka Superrhero,Kireet Khurana,"Ajay Devgn, Kajol",Animated
122,DEC,31.0,Tera Kya Hoga Johnny,Sudhir Mishra,"Neil Nitin Mukesh, Soha Ali Khan, Kay Kay Menon, Shahana Goswami",Thriller
123,DEC,31.0,Ada... A Way of Life,Tanvir Ahmad,"Ayaan Ahmad, Nauheed Cyrusi, Ayesha Jhulka, Rahul Roy, Milind Gunaji",Drama
124,DEC,,,,,
125,DEC,,,,,
